CD_CLIENTE,INADIMPLENTE,NM_MUN,SG_UF,SCORE,TEM_AUXILIO,TEM_BOLSAFAMILIA,NM_REGIAO,CD_UF,CD_MUN,PF_CNT,PF_VOL,PF_ITS,PF_TPR,PF_GRV,PF_MRC,PF_TDC,PF_FRQ,PF_VLR,PF_REC,PF_ETB,PF_MOD01,PF_MOD02,PF_MOD03,PF_MOD04,Bancarizado,OCUPACAO,IDADE,CD_MESO
12818,0,GARCA,SP,357,1,0,SUDESTE,35,3516705,101,1,0,0,0,0,51,1,0,0,1,0,0,0,1,0,3,47,3516
12819,0,SAO VICENTE,SP,525,1,0,SUDESTE,35,3551009,1,101,0,0,1,0,51,1,0,0,100.8,92.67,0,0,34.33,1,3,46,3551
12820,0,SAO PAULO,SP,311,1,1,SUDESTE,35,3550308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,3550
12821,0,LINS,SP,731,0,0,SUDESTE,35,3527108,101,26.83,0,50.3,12.11,1,51,101,44.48,20.74,1,0,101,0,0,1,1,82,3527
12822,1,OSASCO,SP,332,1,0,SUDESTE,35,3534401,32.93,13.28,0,0,51,97.95,2.8,34.33,8.8,47.21,101,0,0,0,34.33,1,3,42,3534
12823,1,RECIFE,PE,517,0,0,NORDESTE,26,2611606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,2611
12824,1,BAURU,SP,919,0,0,SUDESTE,35,3506003,1.5,97.46,89.57,0,1,0,51,1,0,47.21,74.73,0,34.33,101,101,1,3,44,3506
12825,0,IBITINGA,SP,169,1,0,SUDESTE,35,3519600,10.14,14.54,0,0,47.15,1,51,101,50.23,10.97,101,0,0,0,101,1,3,43,3519
12826,0,ATIBAIA,SP,845,0,0,SUDESTE,35,3504107,4.61,22.63,4.09,22.65,81.41,1,1,101,93.73,77.16,1,0,101,76,101,1,3,44,3504
12827,0,TAUBATE,SP,936,0,0,SUDESTE,35,3554102,1,70.74,58.79,0,1,0,51,1,0,20.74,100.8,0,59.33,101,101,1,3,44,3554
12828,0,CAMPINAS,SP,894,0,0,SUDESTE,35,3509502,14.93,46.77,0,0,1,0,51,1,0,10.97,1,0,0,0,101,1,3,43,3509
12829,0,GUARULHOS,SP,888,0,0,SUDESTE,35,3518800,4.82,77.23,98.09,96.27,5.35,1,12.92,101,9.22,30.13,1,0,101,101,0,1,3,45,3518
12830,0,TUPA,SP,601,0,0,SUDESTE,35,3555000,82.68,5,0,26.43,1,0,51,1,0,20.74,1,0,101,0,101,1,1,68,3555
12831,0,SANTOS,SP,466,1,0,SUDESTE,35,3548500,4.82,0,0,51.8,101,1,1,101,100.7,61.44,100,0,101,0,0,1,2,44,3548
12832,0,SAO BERNARDO DO CAMPO,SP,807,0,0,SUDESTE,35,3548708,1,101,46.65,31.95,1.67,89.29,51,101,69.89,91.51,29.33,0,101,101,101,1,3,44,3548
12833,0,RIBEIRAO PRETO,SP,868,0,0,SUDESTE,35,3543402,1,100.5,101,96.79,3.63,1,27.89,101,67.07,47.21,89.54,0,101,101,101,1,1,41,3543
12834,0,MAUA,SP,913,0,0,SUDESTE,35,3529401,1.07,72.55,2.29,0,1,0,51,1,0,38.99,77.16,0,1,101,101,1,1,43,3529
12835,0,PRAIA GRANDE,SP,493,0,0,SUDESTE,35,3541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66,3541
12836,1,PRAIA GRANDE,SP,569,1,0,SUDESTE,35,3541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,3541
12837,0,SAO PAULO,SP,555,1,1,SUDESTE,35,3550308,30.13,3.9,0,0,1,0,51,1,0,10.97,1,0,0,0,67.67,1,1,55,3550
12838,0,SAO PAULO,SP,535,1,0,SUDESTE,35,3550308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,42,3550
12839,0,SAO CAETANO DO SUL,SP,841,0,0,SUDESTE,35,3548807,1,101,99.63,96.79,1,0,51,1,0,30.13,94.11,0,101,101,101,1,2,41,3548
12840,0,VARGEM GRANDE PAULISTA,SP,856,1,0,SUDESTE,35,3556453,1,53.45,0,0,1,0,51,1,0,20.74,100.8,0,67.67,0,101,1,1,43,3556
12841,0,COMODORO,MT,391,1,0,CENTRO-OESTE,51,5103304,44.8,8.57,0,3,24.08,1,5.74,101,100.5,30.13,101,0,101,0,76,1,3,42,5103
12842,0,SANTANA DE PARNAIBA,SP,616,0,0,SUDESTE,35,3547304,1,101,0,96.27,1,97.95,74.11,101,38.62,67.4,1,0,101,101,101,1,3,42,3547
12843,0,ATIBAIA,SP,718,0,0,SUDESTE,35,3504107,1,83.27,0,0,1,0,74.11,67.67,36.68,20.74,1,101,0,0,101,1,1,42,3504
